date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:07:35	1179/1179	---M--	200	added ('OK')	image/png	etag:%22580000f0-49b%22	http://cdn2.editmysite.com/images/util/videojs/volume-mute.png?1476392796	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/images/util/videojs/volume-mutec0d1.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1476398949)
09:07:35	1303/1303	---M--	200	added ('OK')	image/png	etag:%22580000f0-517%22	http://cdn2.editmysite.com/images/util/videojs//@2x/volume-mute.png?1476392796	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/images/util/videojs/@2x/volume-mutec0d1.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1476398949)
09:07:36	3318/3318	---M--	200	added ('OK')	image/png	etag:%22580000f0-cf6%22	http://cdn2.editmysite.com/images/util/videojs/blue-bar.png?1476392796	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/images/util/videojs/blue-barc0d1.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1476398949)
09:07:36	18342/18342	---M--	200	added ('OK')	image/png	etag:%22580028e3-47a6%22	http://cdn2.editmysite.com/sprites/util/videojs-sacae758aa2.png	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/sprites/util/videojs-sacae758aa2.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1476398949)
09:07:36	942/942	---M--	200	added ('OK')	image/png	etag:%22580000f0-3ae%22	http://cdn2.editmysite.com/images/util/videojs//@2x/blue-bar.png?1476392796	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/images/util/videojs/@2x/blue-barc0d1.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1476398949)
09:07:36	1146/1146	---M--	200	added ('OK')	image/png	etag:%22580000f0-47a%22	http://cdn2.editmysite.com/images/util/videojs/maximize-icon.png?1476392796	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/images/util/videojs/maximize-iconc0d1.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1476398949)
09:07:37	1312/1312	---M--	200	added ('OK')	image/png	etag:%22580000f0-520%22	http://cdn2.editmysite.com/images/util/videojs//@2x/maximize-icon.png?1476392796	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/images/util/videojs/@2x/maximize-iconc0d1.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1476398949)
09:07:37	1188/1188	---M--	200	added ('OK')	image/png	etag:%22580028e1-4a4%22	http://cdn2.editmysite.com/images/util/videojs/minimize-icon.png?1476392796	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/images/util/videojs/minimize-iconc0d1.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1476398949)
09:07:37	1379/1379	---M--	200	added ('OK')	image/png	etag:%22580028e1-563%22	http://cdn2.editmysite.com/images/util/videojs//@2x/minimize-icon.png?1476392796	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/images/util/videojs/@2x/minimize-iconc0d1.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1476398949)
09:07:38	3434/3434	---M--	200	added ('OK')	image/png	etag:%22580000f0-d6a%22	http://cdn2.editmysite.com/images/util/videojs/play-icon.png?1476392796	C:/My%20Web%20Sites/amberd/cdn2.editmysite.com/images/util/videojs/play-iconc0d1.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1476398949)
